idx,label,for
0,ANY-background,train
1,CT-prostate_or_uterus,train
2,CT-duodenum,train
3,CT-kidney_right,train
4,CT-adrenal_gland_left,train
5,CT-iliac_artery_right,train
6,CT-iliopsoas_right,train
7,CT-iliac_vena_right,train
8,CT-uterus,train
9,CT-small_bowel,train
10,CT-left_or_right_kidney,No_Label
10,CT-left_or_right_kidney,No_Label
11,CT-left_or_right_adrenal_gland,No_Label
11,CT-left_or_right_adrenal_gland,No_Label
12,CT-kidney_left,train
13,CT-adrenal_gland_right,train
14,CT-iliac_artery_left,train
15,CT-iliac_vena_left,train
16,CT-rectum,train
17,CT-colon,train
18,CT-liver,train
19,CT-liver_vessel,train
20,CT-intestine,train
21,CT-kidney,train
22,CT-adrenal,train
23,CT-kidney_arteries,train
24,CT-kidney_veins,train
25,CT-stomach,train
26,CT-gallbladder,train
27,CT-pancreas,train
28,CT-spleen,train
29,CT-urinary_bladder,train
30,CT-portal_vein_and_splenic_vein,train
31,MR-prostate,train
32,MR-prostate_or_uterus,train
33,MR-duodenum,No_Label
33,MR-duodenum,No_Label
34,MR-right_kidney,train
35,MR-right_adrenal,No_Label
35,MR-right_adrenal,No_Label
36,MR-left_or_right_kidney,No_Label
36,MR-left_or_right_kidney,No_Label
37,MR-left_or_right_adrenal_gland,No_Label
37,MR-left_or_right_adrenal_gland,No_Label
38,MR-liver,train
39,MR-spleen,train
40,MR-urinary_bladder,No_Label
40,MR-urinary_bladder,No_Label
41,CT-inferior_vena_cava,train
42,CT-aorta,train
43,CT-esophagus,train
44,MR-inferior_vena_cava,No_Label
44,MR-inferior_vena_cava,No_Label
45,MR-esophagus,No_Label
45,MR-esophagus,No_Label
46,CT-lumbar_vertebra,train
47,CT-vertebrae_L1,train
48,CT-vertebrae_L2,train
49,CT-vertebrae_L3,train
50,CT-vertebrae_L4,train
51,CT-vertebrae_L5,train
52,CT-lumbar_spine-6,train
53,MR-lumbar_vertebra,No_Label
53,MR-lumbar_vertebra,No_Label
54,MR-lumbar_spine-1,No_Label
54,MR-lumbar_spine-1,No_Label
55,CT-right_coronary_artery,No_Label
55,CT-right_coronary_artery,No_Label
56,CT-heart_ventricle_right,train
57,CT-right_ventricle_blood_cavity,No_Label
57,CT-right_ventricle_blood_cavity,No_Label
58,CT-heart_atrium_right,train
59,CT-right_atrium_blood_cavity,No_Label
59,CT-right_atrium_blood_cavity,No_Label
60,CT-left_anterior_descending_branch,No_Label
60,CT-left_anterior_descending_branch,No_Label
61,CT-heart_ventricle_left,train
62,CT-left_ventricular_myocardium,No_Label
62,CT-left_ventricular_myocardium,No_Label
63,CT-left_ventricle_blood_cavity,No_Label
63,CT-left_ventricle_blood_cavity,No_Label
64,CT-heart_atrium_left,train
65,CT-left_atrium_blood_cavity,No_Label
65,CT-left_atrium_blood_cavity,No_Label
66,CT-left_circumflex_artery,No_Label
66,CT-left_circumflex_artery,No_Label
67,CT-heart,train
68,CT-heart_myocardium,train
69,MR-no-reflow,train
70,MR-aorta,No_Label
70,MR-aorta,No_Label
71,MR-ascending_aorta,train
72,MR-right_ventricle,train
73,MR-right_ventricular_cavity,No_Label
73,MR-right_ventricular_cavity,No_Label
74,MR-right_ventricular_blood_pool,train
75,MR-contours_for_the_right_ventricle_blood_pools,No_Label
75,MR-contours_for_the_right_ventricle_blood_pools,No_Label
76,MR-right_ventricle_blood_cavity,train
77,MR-right_atrial_blood_cavity,train
78,MR-left_ventricle,train
79,MR-left_ventricular_myocardium,train
80,MR-left_ventricular_myocardial_scars,train
81,MR-contours_for_left_ventricular_myocardium,No_Label
81,MR-contours_for_left_ventricular_myocardium,No_Label
82,MR-left_atrial_cavity,No_Label
82,MR-left_atrial_cavity,No_Label
83,MR-left_ventricular_blood_pool,train
84,MR-contours_for_the_left_ventricle_blood_pools,No_Label
84,MR-contours_for_the_left_ventricle_blood_pools,No_Label
85,MR-left_ventricle_blood_cavity,train
86,MR-left_atrium,train
87,MR-left_atrial_scars,train
88,MR-left_atrial_blood_pool,No_Label
88,MR-left_atrial_blood_pool,No_Label
89,MR-left_atrial_blood_cavity,train
90,MR-myocardium,train
91,MR-cavity,No_Label
91,MR-cavity,No_Label
92,MR-normal_myocardium,No_Label
92,MR-normal_myocardium,No_Label
93,MR-blood_pool,No_Label
93,MR-blood_pool,No_Label
94,CT-mandible,train
95,CT-falx_cerebri,No_Label
95,CT-falx_cerebri,No_Label
96,CT-head_and_neck_organs_at_risks,No_Label
96,CT-head_and_neck_organs_at_risks,No_Label
97,CT-cerebellum,No_Label
97,CT-cerebellum,No_Label
98,CT-tentorium_cerebelli,No_Label
98,CT-tentorium_cerebelli,No_Label
99,CT-left_and_right_parotid_glands,train
100,CT-left_and_right_optic_nerves,train
101,CT-left_and_right_submandibular_glands,train
102,CT-lacrimal_glands_cochleas,No_Label
102,CT-lacrimal_glands_cochleas,No_Label
103,CT-eyes_optic_nerves_optic_chiasm,No_Label
103,CT-eyes_optic_nerves_optic_chiasm,No_Label
104,CT-sagittal_&_transverse_brain_sinuses,No_Label
104,CT-sagittal_&_transverse_brain_sinuses,No_Label
105,CT-cochlea,No_Label
105,CT-cochlea,No_Label
106,CT-brain,train
107,CT-ventricles,No_Label
107,CT-ventricles,No_Label
108,CT-brainstem,train
109,CT-brain_skull,No_Label
109,CT-brain_skull,No_Label
110,CT-face,train
111,CT-optic_chiasm,train
112,IOSs-teeth,No_Label
112,IOSs-teeth,No_Label
113,MR-external_cerebrospinal_fluid,train
114,MR-falx_cerebri,No_Label
114,MR-falx_cerebri,No_Label
115,MR-cerebellum,train
116,MR-tentorium_cerebelli,No_Label
116,MR-tentorium_cerebelli,No_Label
117,MR-lacrimal_glands_cochleas,No_Label
117,MR-lacrimal_glands_cochleas,No_Label
118,MR-deep_gray_matter,train
119,MR-gray_matter,train
120,MR-white_matter,train
121,MR-eyes_optic_nerves_optic_chiasm,No_Label
121,MR-eyes_optic_nerves_optic_chiasm,No_Label
122,MR-sagittal_&_transverse_brain_sinuses,No_Label
122,MR-sagittal_&_transverse_brain_sinuses,No_Label
123,MR-cochlea,No_Label
123,MR-cochlea,No_Label
124,MR-ventricles,train
125,MR-brainstem,train
126,MR-brain_growth,No_Label
126,MR-brain_growth,No_Label
127,MR-cerebrospinal_fluid,train
128,MR-caudate_nucleaus,train
129,MR-anterior_hippocampus_of_the_brain,train
130,MR-posterior_hippocampus_of_the_brain,train
131,MR-carotid_artery_vessel_wall,No_Label
131,MR-carotid_artery_vessel_wall,No_Label
132,OCT-fluid-filled,No_Label
132,OCT-fluid-filled,No_Label
133,OCT-subretinal_fluid,No_Label
133,OCT-subretinal_fluid,No_Label
134,OCT-intraretinal_fluid,No_Label
134,OCT-intraretinal_fluid,No_Label
135,OCT-retinal_layer_boundaries-1,No_Label
135,OCT-retinal_layer_boundaries-1,No_Label
136,OCT-retinal_layer_boundaries-2,No_Label
136,OCT-retinal_layer_boundaries-2,No_Label
137,OCT-retinal_layer_boundaries-3,No_Label
137,OCT-retinal_layer_boundaries-3,No_Label
138,OCT-retinal_layer_boundaries-4,No_Label
138,OCT-retinal_layer_boundaries-4,No_Label
139,OCT-retinal_layer_boundaries-5,No_Label
139,OCT-retinal_layer_boundaries-5,No_Label
140,OCT-retinal_layer_boundaries-6,No_Label
140,OCT-retinal_layer_boundaries-6,No_Label
141,OCT-retinal_layer_boundaries-7,No_Label
141,OCT-retinal_layer_boundaries-7,No_Label
142,OCT-retinal_layer_boundaries-8,No_Label
142,OCT-retinal_layer_boundaries-8,No_Label
143,CT-vertebrae_C1,train
144,CT-vertebrae_C2,train
145,CT-vertebrae_C3,train
146,CT-vertebrae_C4,train
147,CT-vertebrae_C5,train
148,CT-vertebrae_C6,train
149,CT-vertebrae_C7,train
150,MR-brain_skull,No_Label
150,MR-brain_skull,No_Label
151,MR-peripheral_artery,No_Label
151,MR-peripheral_artery,No_Label
152,CT-scapula_right,train
153,CT-humerus_right,train
154,CT-clavicula_right,train
155,CT-scapula_left,train
156,CT-humerus_left,train
157,CT-clavicula_left,train
158,CT-femur_left,train
159,CT-hip_left,train
160,CT-femur_right,train
161,CT-hip_right,train
162,CT-sacrum,train
163,CT-gluteus_medius_right,train
164,CT-gluteus_maximus_right,train
165,CT-gluteus_minimus_right,train
166,CT-gluteus_medius_left,train
167,CT-gluteus_maximus_left,train
168,CT-gluteus_minimus_left,train
169,CT-coronary_artery,No_Label
169,CT-coronary_artery,No_Label
170,CT-ascending_aorta,No_Label
170,CT-ascending_aorta,No_Label
171,CT-lung_upper_lobe_right,train
172,CT-lung_lower_lobe_right,train
173,CT-lung_middle_lobe_right,train
174,CT-left_or_right_lung,No_Label
174,CT-left_or_right_lung,No_Label
175,CT-lung_upper_lobe_left,train
176,CT-lung_lower_lobe_left,train
177,CT-trachea,train
178,CT-lung,train
179,CT-pulmonary_artery,train
180,CT-outside_the_lungs,No_Label
180,CT-outside_the_lungs,No_Label
181,CT-pulmonary_airway,train
182,CT-lung_vessels,No_Label
182,CT-lung_vessels,No_Label
183,CT-lung_organ_at_risks,No_Label
183,CT-lung_organ_at_risks,No_Label
184,MR-left_or_right_lung,No_Label
184,MR-left_or_right_lung,No_Label
185,MR-left_kidney,train
186,MR-left_adrenal,No_Label
186,MR-left_adrenal,No_Label
187,MR-trachea,No_Label
187,MR-trachea,No_Label
188,MR-pulmonary_artery,train
189,MR-stomach,No_Label
189,MR-stomach,No_Label
190,MR-gallbladder,No_Label
190,MR-gallbladder,No_Label
191,MR-pancreas,No_Label
191,MR-pancreas,No_Label
192,CT-rib_right_1,train
193,CT-rib_right_10,train
194,CT-rib_right_11,train
195,CT-rib_right_12,train
196,CT-rib_right_2,train
197,CT-rib_right_3,train
198,CT-rib_right_4,train
199,CT-rib_right_5,train
200,CT-rib_right_6,train
201,CT-rib_right_7,train
202,CT-rib_right_8,train
203,CT-rib_right_9,train
204,CT-rib_left_1,train
205,CT-rib_left_10,train
206,CT-rib_left_11,train
207,CT-rib_left_12,train
208,CT-rib_left_2,train
209,CT-rib_left_3,train
210,CT-rib_left_4,train
211,CT-rib_left_5,train
212,CT-rib_left_6,train
213,CT-rib_left_7,train
214,CT-rib_left_8,train
215,CT-rib_left_9,train
216,CT-vertebrae_T1,train
217,CT-vertebrae_T10,train
218,CT-vertebrae_T11,train
219,CT-vertebrae_T12,train
220,CT-vertebrae_T2,train
221,CT-vertebrae_T3,train
222,CT-vertebrae_T4,train
223,CT-vertebrae_T5,train
224,CT-vertebrae_T6,train
225,CT-vertebrae_T7,train
226,CT-vertebrae_T8,train
227,CT-vertebrae_T9,train
228,CT-sternum,No_Label
228,CT-sternum,No_Label
229,MR-sternum,No_Label
229,MR-sternum,No_Label
230,CT-autochthon_right,train
231,CT-autochthon_left,train
232,CT-bones,No_Label
232,CT-bones,No_Label
233,MR-intervertebral_disc,No_Label
233,MR-intervertebral_disc,No_Label
234,CT-femur_bone,No_Label
234,CT-femur_bone,No_Label
235,CT-femur_cartilage,No_Label
235,CT-femur_cartilage,No_Label
236,CT-tibia_bone,No_Label
236,CT-tibia_bone,No_Label
237,CT-tibia_cartilage,No_Label
237,CT-tibia_cartilage,No_Label
238,MR-knee_cartilage,No_Label
238,MR-knee_cartilage,No_Label
239,MR-knee_bone,No_Label
239,MR-knee_bone,No_Label
240,CT-left_or_right_psoas_major_muscle,No_Label
240,CT-left_or_right_psoas_major_muscle,No_Label
241,CT-iliopsoas_left,train
242,CT-rectus_abdominis_muscle,No_Label
242,CT-rectus_abdominis_muscle,No_Label
243,MR-left_or_right_psoas_major_muscle,No_Label
243,MR-left_or_right_psoas_major_muscle,No_Label
244,MR-rectus_abdominis_muscle,No_Label
244,MR-rectus_abdominis_muscle,No_Label
