idx,label,label-CN,for
0,ANY-background,背景,train
1,CT-prostate_or_uterus,CT-前列腺/子宫,train
2,CT-duodenum,CT-十二指肠,train
3,CT-kidney_right,CT-右肾,train
4,CT-adrenal_gland_left,CT-右肾上腺,train
5,CT-iliac_artery_right,CT-右髂动脉,train
6,CT-iliopsoas_right,CT-右髂腰肌,train
7,CT-iliac_vena_right,CT-右髂静脉,train
8,CT-uterus,CT-子宫,train
9,CT-small_bowel,CT-小肠,train
10,CT-left_or_right_kidney,CT-左/右肾,No_Label
11,CT-left_or_right_adrenal_gland,CT-左/右肾上腺,No_Label
12,CT-kidney_left,CT-左肾,train
13,CT-adrenal_gland_right,CT-左肾上腺,train
14,CT-iliac_artery_left,CT-左髂动脉,train
15,CT-iliac_vena_left,CT-左髂静脉,train
16,CT-rectum,CT-直肠,train
17,CT-colon,CT-结肠,train
18,CT-liver,CT-肝脏,train
19,CT-liver_vessel,CT-肝血管,train
20,CT-intestine,CT-肠,train
21,CT-kidney,CT-肾,train
22,CT-adrenal,CT-肾上腺,train
23,CT-kidney_arteries,CT-肾动脉,train
24,CT-kidney_veins,CT-肾静脉,train
25,CT-stomach,CT-胃,train
26,CT-gallbladder,CT-胆囊,train
27,CT-pancreas,CT-胰腺,train
28,CT-spleen,CT-脾脏,train
29,CT-urinary_bladder,CT-膀胱,train
30,CT-portal_vein_and_splenic_vein,"CT-门静脉,脾静脉",train
31,MR-prostate,MR-前列腺,train
32,MR-prostate_or_uterus,MR-前列腺/子宫,train
33,MR-duodenum,MR-十二指肠,No_Label
34,MR-right_kidney,MR-右肾,train
35,MR-right_adrenal,MR-右肾上腺,No_Label
36,MR-left_or_right_kidney,MR-左/右肾,No_Label
37,MR-left_or_right_adrenal_gland,MR-左/右肾上腺,No_Label
38,MR-liver,MR-肝脏,train
39,MR-spleen,MR-脾脏,train
40,MR-urinary_bladder,MR-膀胱,No_Label
41,CT-inferior_vena_cava,CT-下腔静脉,train
42,CT-aorta,CT-主动脉,train
43,CT-esophagus,CT-食道,train
44,MR-inferior_vena_cava,MR-下腔静脉,No_Label
45,MR-esophagus,MR-食道,No_Label
46,CT-lumbar_vertebra,CT-腰椎,train
47,CT-vertebrae_L1,CT-腰椎-L1,train
48,CT-vertebrae_L2,CT-腰椎-L2,train
49,CT-vertebrae_L3,CT-腰椎-L3,train
50,CT-vertebrae_L4,CT-腰椎-L4,train
51,CT-vertebrae_L5,CT-腰椎-L5,train
52,CT-lumbar_spine-6,CT-腰椎-L6,train
53,MR-lumbar_vertebra,MR-腰椎,No_Label
54,MR-lumbar_spine-1,MR-腰椎-L1,No_Label
55,CT-right_coronary_artery,CT-右冠状动脉,No_Label
56,CT-heart_ventricle_right,CT-右心室,train
57,CT-right_ventricle_blood_cavity,CT-右心室血腔,No_Label
58,CT-heart_atrium_right,CT-右心房,train
59,CT-right_atrium_blood_cavity,CT-右心房血腔,No_Label
60,CT-left_anterior_descending_branch,CT-左前降支,No_Label
61,CT-heart_ventricle_left,CT-左心室,train
62,CT-left_ventricular_myocardium,CT-左心室心肌,No_Label
63,CT-left_ventricle_blood_cavity,CT-左心室血腔,No_Label
64,CT-heart_atrium_left,CT-左心房,train
65,CT-left_atrium_blood_cavity,CT-左心房血腔,No_Label
66,CT-left_circumflex_artery,CT-左环状动脉,No_Label
67,CT-heart,CT-心脏,train
68,CT-heart_myocardium,CT-心脏心肌,train
69,MR-no-reflow,MR-(心肌)无回流(区域),train
70,MR-aorta,MR-主动脉,No_Label
71,MR-ascending_aorta,MR-升主动脉,train
72,MR-right_ventricle,MR-右心室,train
73,MR-right_ventricular_cavity,MR-右心室腔,No_Label
74,MR-right_ventricular_blood_pool,MR-右心室血池,train
75,MR-contours_for_the_right_ventricle_blood_pools,MR-右心室血池轮廓,No_Label
76,MR-right_ventricle_blood_cavity,MR-右心室血腔,train
77,MR-right_atrial_blood_cavity,MR-右心房血腔,train
78,MR-left_ventricle,MR-左心室,train
79,MR-left_ventricular_myocardium,MR-左心室心肌,train
80,MR-left_ventricular_myocardial_scars,MR-左心室心肌瘢痕,train
81,MR-contours_for_left_ventricular_myocardium,MR-左心室心肌轮廓,No_Label
82,MR-left_atrial_cavity,MR-左心室腔,No_Label
83,MR-left_ventricular_blood_pool,MR-左心室血池,train
84,MR-contours_for_the_left_ventricle_blood_pools,MR-左心室血池轮廓,No_Label
85,MR-left_ventricle_blood_cavity,MR-左心室血腔,train
86,MR-left_atrium,MR-左心房,train
87,MR-left_atrial_scars,MR-左心房疤痕,train
88,MR-left_atrial_blood_pool,MR-左心房血池,No_Label
89,MR-left_atrial_blood_cavity,MR-左心房血腔,train
90,MR-myocardium,MR-心肌,train
91,MR-cavity,MR-心腔,No_Label
92,MR-normal_myocardium,MR-正常心肌,No_Label
93,MR-blood_pool,MR-血池,No_Label
94,CT-mandible,CT-下颌骨,train
95,CT-falx_cerebri,CT-大脑镰,No_Label
96,CT-head_and_neck_organs_at_risks,CT-头颈部风险器官,No_Label
97,CT-cerebellum,CT-小脑,No_Label
98,CT-tentorium_cerebelli,CT-小脑幕,No_Label
99,CT-left_and_right_parotid_glands,CT-左/右腮腺,train
100,CT-left_and_right_optic_nerves,CT-左/右视神经,train
101,CT-left_and_right_submandibular_glands,CT-左/右颌下腺,train
102,CT-lacrimal_glands_cochleas,"CT-泪腺,耳蜗",No_Label
103,CT-eyes_optic_nerves_optic_chiasm,CT-眼睛，视神经，视神经交叉,No_Label
104,CT-sagittal_&_transverse_brain_sinuses,CT-矢状和横向脑窦,No_Label
105,CT-cochlea,CT-耳蜗,No_Label
106,CT-brain,CT-脑,train
107,CT-ventricles,CT-脑室,No_Label
108,CT-brainstem,CT-脑干,train
109,CT-brain_skull,CT-脑部头骨,No_Label
110,CT-face,CT-脸,train
111,CT-optic_chiasm,CT-视神经交叉,train
112,IOSs-teeth,IOSs-牙齿,No_Label
113,MR-external_cerebrospinal_fluid,MR-外部脑脊液,train
114,MR-falx_cerebri,MR-大脑镰,No_Label
115,MR-cerebellum,MR-小脑,train
116,MR-tentorium_cerebelli,MR-小脑幕,No_Label
117,MR-lacrimal_glands_cochleas,"MR-泪腺,耳蜗",No_Label
118,MR-deep_gray_matter,MR-深灰质,train
119,MR-gray_matter,MR-灰质,train
120,MR-white_matter,MR-白质,train
121,MR-eyes_optic_nerves_optic_chiasm,MR-眼睛，视神经，视神经交叉,No_Label
122,MR-sagittal_&_transverse_brain_sinuses,MR-矢状和横向脑窦,No_Label
123,MR-cochlea,MR-耳蜗,No_Label
124,MR-ventricles,MR-脑室,train
125,MR-brainstem,MR-脑干,train
126,MR-brain_growth,MR-脑生长(区域),No_Label
127,MR-cerebrospinal_fluid,MR-脑脊液,train
128,MR-caudate_nucleaus,MR-脑部尾状核,train
129,MR-anterior_hippocampus_of_the_brain,MR-脑部海马体前方,train
130,MR-posterior_hippocampus_of_the_brain,MR-脑部海马体后方,train
131,MR-carotid_artery_vessel_wall,MR-颈动脉血管壁,No_Label
132,OCT-fluid-filled,OCT-眼部充满流体的区域,No_Label
133,OCT-subretinal_fluid,OCT-视网膜下液,No_Label
134,OCT-intraretinal_fluid,OCT-视网膜内液,No_Label
135,OCT-retinal_layer_boundaries-1,OCT-视网膜层边界-1,No_Label
136,OCT-retinal_layer_boundaries-2,OCT-视网膜层边界-2,No_Label
137,OCT-retinal_layer_boundaries-3,OCT-视网膜层边界-3,No_Label
138,OCT-retinal_layer_boundaries-4,OCT-视网膜层边界-4,No_Label
139,OCT-retinal_layer_boundaries-5,OCT-视网膜层边界-5,No_Label
140,OCT-retinal_layer_boundaries-6,OCT-视网膜层边界-6,No_Label
141,OCT-retinal_layer_boundaries-7,OCT-视网膜层边界-7,No_Label
142,OCT-retinal_layer_boundaries-8,OCT-视网膜层边界-8,No_Label
143,CT-vertebrae_C1,CT-颈椎-C1,train
144,CT-vertebrae_C2,CT-颈椎-C2,train
145,CT-vertebrae_C3,CT-颈椎-C3,train
146,CT-vertebrae_C4,CT-颈椎-C4,train
147,CT-vertebrae_C5,CT-颈椎-C5,train
148,CT-vertebrae_C6,CT-颈椎-C6,train
149,CT-vertebrae_C7,CT-颈椎-C7,train
150,MR-brain_skull,MR-脑部头骨,No_Label
151,MR-peripheral_artery,MR-腿动脉,No_Label
152,CT-scapula_right,CT-右肩胛骨,train
153,CT-humerus_right,CT-右肱骨,train
154,CT-clavicula_right,CT-右锁骨,train
155,CT-scapula_left,CT-左肩胛骨,train
156,CT-humerus_left,CT-左肱骨,train
157,CT-clavicula_left,CT-左锁骨,train
158,CT-femur_left,CT-左股骨,train
159,CT-hip_left,CT-左髋骨,train
160,CT-femur_right,CT-右股骨,train
161,CT-hip_right,CT-右髋骨,train
162,CT-sacrum,CT-骶骨,train
163,CT-gluteus_medius_right,CT-右臀中肌,train
164,CT-gluteus_maximus_right,CT-右臀大肌,train
165,CT-gluteus_minimus_right,CT-右臀小肌,train
166,CT-gluteus_medius_left,CT-左臀中肌,train
167,CT-gluteus_maximus_left,CT-左臀大肌,train
168,CT-gluteus_minimus_left,CT-左臀小肌,train
169,CT-coronary_artery,CT-冠状动脉,No_Label
170,CT-ascending_aorta,CT-升主动脉,No_Label
171,CT-lung_upper_lobe_right,CT-右肺上叶,train
172,CT-lung_lower_lobe_right,CT-右肺下叶,train
173,CT-lung_middle_lobe_right,CT-右肺中叶,train
174,CT-left_or_right_lung,CT-左/右肺,No_Label
175,CT-lung_upper_lobe_left,CT-左肺上叶,train
176,CT-lung_lower_lobe_left,CT-左肺下叶,train
177,CT-trachea,CT-气管,train
178,CT-lung,CT-肺,train
179,CT-pulmonary_artery,CT-肺动脉,train
180,CT-outside_the_lungs,CT-肺外部,No_Label
181,CT-pulmonary_airway,CT-肺气管,train
182,CT-lung_vessels,CT-肺血管,No_Label
183,CT-lung_organ_at_risks,CT-肺部风险器官,No_Label
184,MR-left_or_right_lung,MR-左/右肺,No_Label
185,MR-left_kidney,MR-左肾,train
186,MR-left_adrenal,MR-左肾上腺,No_Label
187,MR-trachea,MR-气管,No_Label
188,MR-pulmonary_artery,MR-肺动脉,train
189,MR-stomach,MR-胃,No_Label
190,MR-gallbladder,MR-胆囊,No_Label
191,MR-pancreas,MR-胰腺,No_Label
192,CT-rib_right_1,CT-右肋-1,train
193,CT-rib_right_10,CT-右肋-10,train
194,CT-rib_right_11,CT-右肋-11,train
195,CT-rib_right_12,CT-右肋-12,train
196,CT-rib_right_2,CT-右肋-2,train
197,CT-rib_right_3,CT-右肋-3,train
198,CT-rib_right_4,CT-右肋-4,train
199,CT-rib_right_5,CT-右肋-5,train
200,CT-rib_right_6,CT-右肋-6,train
201,CT-rib_right_7,CT-右肋-7,train
202,CT-rib_right_8,CT-右肋-8,train
203,CT-rib_right_9,CT-右肋-9,train
204,CT-rib_left_1,CT-左肋-1,train
205,CT-rib_left_10,CT-左肋-10,train
206,CT-rib_left_11,CT-左肋-11,train
207,CT-rib_left_12,CT-左肋-12,train
208,CT-rib_left_2,CT-左肋-2,train
209,CT-rib_left_3,CT-左肋-3,train
210,CT-rib_left_4,CT-左肋-4,train
211,CT-rib_left_5,CT-左肋-5,train
212,CT-rib_left_6,CT-左肋-6,train
213,CT-rib_left_7,CT-左肋-7,train
214,CT-rib_left_8,CT-左肋-8,train
215,CT-rib_left_9,CT-左肋-9,train
216,CT-vertebrae_T1,CT-胸椎-T1,train
217,CT-vertebrae_T10,CT-胸椎-T10,train
218,CT-vertebrae_T11,CT-胸椎-T11,train
219,CT-vertebrae_T12,CT-胸椎-T12,train
220,CT-vertebrae_T2,CT-胸椎-T2,train
221,CT-vertebrae_T3,CT-胸椎-T3,train
222,CT-vertebrae_T4,CT-胸椎-T4,train
223,CT-vertebrae_T5,CT-胸椎-T5,train
224,CT-vertebrae_T6,CT-胸椎-T6,train
225,CT-vertebrae_T7,CT-胸椎-T7,train
226,CT-vertebrae_T8,CT-胸椎-T8,train
227,CT-vertebrae_T9,CT-胸椎-T9,train
228,CT-sternum,CT-胸骨,No_Label
229,MR-sternum,MR-胸骨,No_Label
230,CT-autochthon_right,CT-右autochthon,train
231,CT-autochthon_left,CT-左autochthon,train
232,CT-bones,CT-骨,No_Label
233,MR-intervertebral_disc,MR-椎间盘,No_Label
234,CT-femur_bone,CT-股骨,No_Label
235,CT-femur_cartilage,CT-股骨软骨,No_Label
236,CT-tibia_bone,CT-胫骨,No_Label
237,CT-tibia_cartilage,CT-胫骨软骨,No_Label
238,MR-knee_cartilage,MR-膝关节软骨,No_Label
239,MR-knee_bone,MR-膝关节骨,No_Label
240,CT-left_or_right_psoas_major_muscle,CT-左/右腰大肌,No_Label
241,CT-iliopsoas_left,CT-左髂腰肌,train
242,CT-rectus_abdominis_muscle,CT-腹直肌,No_Label
243,MR-left_or_right_psoas_major_muscle,MR-左/右腰大肌,No_Label
244,MR-rectus_abdominis_muscle,MR-腹直肌,No_Label
245,CT-lesion,CT-(全身)肿瘤,
246,CT-soft_tissue_sarcomas,CT-(四肢)软组织肉瘤,
247,CT-head_and_neck_primary_Gross_Tumor,CT-头颈部原发性肿瘤,
248,CT-head_and_neck_nodal_Gross_Tumor,CT-头颈部节肿瘤,
249,CT-colon_tumor,CT-结肠肿瘤,
250,CT-liver_tumor,CT-肝肿瘤,
251,CT-ground-glass opacifications and consolidations,CT-肺实质磨玻璃片状影,
252,CT-pulmonary_embolism,CT-肺栓塞,
253,CT-lung_cancer,CT-肺癌,
254,CT-pulmonary_nodules,CT-肺结节,
255,CT-lung_tumor,CT-肺部肿瘤,
256,CT-kidney_cyst,CT-肾囊肿,
257,CT-renal_tumor,CT-肾肿瘤,
258,CT-pancreatic_lesions,CT-胰腺病灶,
259,CT-intracranial_implants_in_the_skull_of_the_brain,CT-脑部头骨颅内植入物,
260,CT-brain_tumor,CT-脑部肿瘤,
261,CT-intracranial_hemorrhage,CT-脑部颅内出血病灶,
262,CT-abdominal_anomalies,CT-腹部异常,
263,CT-cerebral_Aneurysm,CT-颅内动脉瘤,
264,CT-rib_fracture,CT-骨折区域,
265,CT-bone_injuries,CT-骨损伤,
266,CT-nasopharynx_cancer,CT-鼻咽癌,
267,MR-soft_tissue_sarcomas,MR-(四肢)软组织肉瘤,
268,MR-GD-enhancing tumor,MR-GD增强肿瘤,
269,MR-sub-acute ischemic stroke lesion,MR-亚急性缺血性脑卒中病灶,
270,MR-other_pathology,MR-其他病理结构,
271,MR-pancreatic_lesion,MR-前列腺病灶,
272,MR-head_and_neck_primary_Gross_Tumor,MR-头颈部原发性肿瘤,
273,MR-the_necrotic_tumor_core,MR-小脑肿瘤坏死核心,
274,MR-left_ventricular_myocardial_edema,MR-左心室心肌水肿,
275,MR-myocardial_infarction,MR-心肌梗塞(区域),
276,MR-ischemic_stroke_(embolic_infarct)_lesion,"MR-急性,亚急性脑卒中(栓塞性梗塞)病灶",
277,MR-peritumoral_edematous_or_invaded_tissue,MR-瘤旁组织水肿/入侵,
278,MR-ischemic_stroke_lesion,MR-缺血性脑卒中病灶,
279,MR-stomach_polyp,MR-胃部息肉,
280,MR-cerebral_aneurysm,MR-脑动脉瘤,
281,MR-stroke_lesion,MR-脑卒中病灶,
282,MR-acute_and_sub-acute stroke lesion,MR-脑卒中病灶(急性、亚急性和慢性),
283,MR-brain_tumor,MR-脑肿瘤,
284,MR-brain_necrosis,MR-脑部坏死,
285,MR-brain_enhancing_tumor,MR-脑部增强型肿瘤,
286,MR-multiple_sclerosis_of_the_brain,MR-脑部多发性硬化症,
287,MR-intracranial_implants_in_the_skull_of_the_brain,MR-脑部头骨颅内植入物,
288,MR-brain_anomalies,MR-脑部异常,
289,MR-microhemorrhagic_lesions_in_the_brain,MR-脑部微出血病灶,
290,MR-lacunar_lesions_in_the_brain,MR-脑部拉库纳病灶,
291,MR-brain_edema,MR-脑部水肿,
292,MR-white_matter_hyperplasia_of_the_brain,MR-脑部白质增生,
293,MR-enlarged_lesions_in_the_perivascular_space_of_the_brain,MR-脑部血管周围空间扩大病灶,
294,MR-brain_non-enhancing_tumor,MR-脑部非增强型肿瘤,
295,MR-intracranial_aneurysms,MR-颅内动脉瘤,
296,OCT-optical_coherence_tomography,OCT-眼部老年黄斑变性,
297,OCT-retinal_cysts,OCT-视网膜囊肿,
298,OCT-pigment_epithelial_detachment,OCT-视网膜色素上皮脱离,
299,X-pneumothorax,X-气胸,
